type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
,rem,0,1,1,1,0,0,1,1,0,0,0111001100,0,0,0,0,1,0,1,0,0,1,0,0,0,0,00001010010000
,remu,0,1,1,1,1,0,1,1,0,0,0111101100,0,0,0,0,1,0,1,0,1,1,0,0,0,0,00001010110000
ALU IMM,addi,0,0,0,0,0,0,0,1,0,0,0000000100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,,1,1,0,0,0,0,0,1,0,0,1100000100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,,0,1,0,0,0,0,0,1,0,0,0100000100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,,1,0,0,0,0,0,0,1,0,0,1000000100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,xori,0,0,1,0,0,0,0,1,0,0,0010000100,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,,1,1,1,0,0,0,0,1,0,0,1110000100,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,,0,1,1,0,0,0,0,1,0,0,0110000100,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,,1,0,1,0,0,0,0,1,0,0,1010000100,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,ori,0,0,1,1,0,0,0,1,0,0,0011000100,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,,1,1,1,1,0,0,0,1,0,0,1111000100,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,,0,1,1,1,0,0,0,1,0,0,0111000100,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,,1,0,1,1,0,0,0,1,0,0,1011000100,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,andi,0,0,1,1,1,0,0,1,0,0,0011100100,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,,1,1,1,1,1,0,0,1,0,0,1111100100,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,,0,1,1,1,1,0,0,1,0,0,0111100100,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,,1,0,1,1,1,0,0,1,0,0,1011100100,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,slli,0,0,0,0,1,0,0,1,0,0,0000100100,0,0,0,0,0,0,0,0,1,1,0,0,0,1,00000000110001
,srli,0,0,1,0,1,0,0,1,0,0,0010100100,0,0,0,0,0,0,1,0,1,1,0,0,0,1,00000010110001
,srai,1,0,1,0,1,0,0,1,0,0,1010100100,0,0,0,0,0,1,1,0,1,1,0,0,0,1,00000110110001
,slti,0,0,0,1,0,0,0,1,0,0,0001000100,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,,1,1,0,1,0,0,0,1,0,0,1101000100,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,,0,1,0,1,0,0,0,1,0,0,0101000100,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,,1,0,0,1,0,0,0,1,0,0,1001000100,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,sltiu,0,0,0,1,1,0,0,1,0,0,0001100100,0,0,0,0,0,0,0,1,1,1,0,0,0,1,00000001110001
,,0,1,0,1,1,0,0,1,0,0,0101100100,0,0,0,0,0,0,0,1,1,1,0,0,0,1,00000001110001
,,1,0,0,1,1,0,0,1,0,0,1001100100,0,0,0,0,0,0,0,1,1,1,0,0,0,1,00000001110001
,,1,1,0,1,1,0,0,1,0,0,1101100100,0,0,0,0,0,0,0,1,1,1,0,0,0,1,00000001110001
BRANCH,beq,0,0,0,0,0,1,1,0,0,0,0000011000,0,0,0,1,0,1,0,1,0,0,0,1,0,0,00010101000100
,,1,0,0,0,0,1,1,0,0,0,1000011000,0,0,0,1,0,1,0,1,0,0,0,1,0,0,00010101000100
,,0,1,0,0,0,1,1,0,0,0,0100011000,0,0,0,1,0,1,0,1,0,0,0,1,0,0,00010101000100
,,1,1,0,0,0,1,1,0,0,0,1100011000,0,0,0,1,0,1,0,1,0,0,0,1,0,0,00010101000100
,bne,0,0,0,0,1,1,1,0,0,0,0000111000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,00100100100100
,,1,0,0,0,1,1,1,0,0,0,1000111000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,00100100100100
,,0,1,0,0,1,1,1,0,0,0,0100111000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,00100100100100
,,1,1,0,0,1,1,1,0,0,0,1100111000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,00100100100100
,blt,0,0,1,0,0,1,1,0,0,0,0010011000,0,0,1,1,0,0,0,1,0,0,0,1,0,0,00110001000100
,,1,0,1,0,0,1,1,0,0,0,1010011000,0,0,1,1,0,0,0,1,0,0,0,1,0,0,00110001000100
,,0,1,1,0,0,1,1,0,0,0,0110011000,0,0,1,1,0,0,0,1,0,0,0,1,0,0,00110001000100
,,1,1,1,0,0,1,1,0,0,0,1110011000,0,0,1,1,0,0,0,1,0,0,0,1,0,0,00110001000100
,bge,0,0,1,0,1,1,1,0,0,0,0010111000,0,1,0,0,0,1,0,1,1,0,0,1,0,0,01000101100100
,,1,0,1,0,1,1,1,0,0,0,1010111000,0,1,0,0,0,1,0,1,1,0,0,1,0,0,01000101100100
,,0,1,1,0,1,1,1,0,0,0,0110111000,0,1,0,0,0,1,0,1,1,0,0,1,0,0,01000101100100
,,1,1,1,0,1,1,1,0,0,0,1110111000,0,1,0,0,0,1,0,1,1,0,0,1,0,0,01000101100100
,bltu,0,0,1,1,0,1,1,0,0,0,0011011000,0,1,0,1,0,0,0,1,1,0,0,1,0,0,01010001100100
,,1,0,1,1,0,1,1,0,0,0,1011011000,0,1,0,1,0,0,0,1,1,0,0,1,0,0,01010001100100
,,0,1,1,1,0,1,1,0,0,0,0111011000,0,1,0,1,0,0,0,1,1,0,0,1,0,0,01010001100100
,,1,1,1,1,0,1,1,0,0,0,1111011000,0,1,0,1,0,0,0,1,1,0,0,1,0,0,01010001100100
,bgeu,0,0,1,1,1,1,1,0,0,0,0011111000,0,1,1,0,0,1,1,0,0,0,0,1,0,0,01100110000100
,,1,0,1,1,1,1,1,0,0,0,1011111000,0,1,1,0,0,1,1,0,0,0,0,1,0,0,01100110000100
,,0,1,1,1,1,1,1,0,0,0,0111111000,0,1,1,0,0,1,1,0,0,0,0,1,0,0,01100110000100
,,1,1,1,1,1,1,1,0,0,0,1111111000,0,1,1,0,0,1,1,0,0,0,0,1,0,0,01100110000100
JUMP,jalr,0,0,0,0,0,1,1,0,0,1,0000011001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10000000010000
,,1,0,0,0,0,1,1,0,0,1,1000011001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10000000010000
,,0,1,0,0,0,1,1,0,0,1,0100011001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10000000010000
,,1,1,0,0,0,1,1,0,0,1,1100011001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10000000010000
,jal,0,0,0,0,0,1,1,0,1,1,0000011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,0,0,0,1,1,0,1,1,0100011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,0,0,0,1,1,1,0,1,1,0000111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,0,0,1,1,1,0,1,1,0100111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,0,0,1,0,1,1,0,1,1,0001011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,0,1,0,1,1,0,1,1,0101011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,0,0,1,1,1,1,0,1,1,0001111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,0,1,1,1,1,0,1,1,0101111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,0,1,0,0,1,1,0,1,1,0010011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,1,0,0,1,1,0,1,1,0110011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,0,1,0,1,1,1,0,1,1,0010111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,1,0,1,1,1,0,1,1,0110111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,0,1,1,0,1,1,0,1,1,0011011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,1,1,0,1,1,0,1,1,0111011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,0,1,1,1,1,1,0,1,1,0011111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,0,1,1,1,1,1,1,0,1,1,0111111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,0,0,0,1,1,0,1,1,1000011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,0,0,0,1,1,0,1,1,1100011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,0,0,1,1,1,0,1,1,1000111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,0,0,1,1,1,0,1,1,1100111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,0,1,0,1,1,0,1,1,1001011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,0,1,0,1,1,0,1,1,1101011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,0,1,1,1,1,0,1,1,1001111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,0,1,1,1,1,0,1,1,1101111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,1,0,0,1,1,0,1,1,1010011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,1,0,0,1,1,0,1,1,1110011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,1,0,1,1,1,0,1,1,1010111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,1,0,1,1,1,0,1,1,1110111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,1,1,0,1,1,0,1,1,1011011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,1,1,0,1,1,0,1,1,1111011011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,0,1,1,1,1,1,0,1,1,1011111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
,,1,1,1,1,1,1,1,0,1,1,1111111011,1,0,0,1,0,0,0,0,0,1,0,1,1,0,10010000010110
